"fhd_id","species_id","name_common","name_scientific","group","method","spatial_scale","temporal_scale","month","season","year","country","region","site","sea_area","crm_recommended","lon","lat"
"Shag_Scotland_U_Head.rds","species_shag","Shag","Fratercula_arctica","gull","Altimeter","national","annual",9,"breeding",2024,"UK","Scotland","U Head","VIIe",FALSE,0.374333267565817,55.0271921446547
"Black Guillemot_Scotland_C_Bay.rds","species_black_guillemot","Black Guillemot","Cepphus_arctica","gull","GPS","national","monthly",4,"breeding, nonbreeding",2020,"UK","Scotland","C Bay","VIIe",TRUE,-1.71187498117797,60.3268700586632
"Shag_Scotland_N_Isle.rds","species_shag","Shag","Uria_cristata","diver","LiDAR-DAS","national","monthly",10,"breeding",2020,"UK","Scotland","N Isle","IVb",TRUE,-4.35576918488368,54.66328492295
"Kittiwake_Scotland_Y_Bay.rds","species_kittiwake","Kittiwake","Alcidae_arctica","diver","Altimeter","site-specific","monthly",4,"breeding",2014,"UK","Scotland","Y Bay","IVc",TRUE,-5.02095810044557,51.7262334600091
"Guillemot_England_W_Point.rds","species_guillemot","Guillemot","Fratercula_arctica","gull","GPS","site-specific","monthly",12,"breeding, nonbreeding",2016,"UK","England","W Point","IVa",FALSE,-2.81210688035935,60.1112241530791
"Black Guillemot_UK_E_Bay.rds","species_black_guillemot","Black Guillemot","Fratercula_arctica","auk","GPS","national","annual",10,"breeding",2022,"UK","UK","E Bay","IVc",FALSE,1.5367323232349,58.6718711592257
"Guillemot_Scotland_R_Head.rds","species_guillemot","Guillemot","Aves_arctica","diver","LiDAR-DAS","regional","seasonal",4,"breeding, nonbreeding",2005,"UK","Scotland","R Head","VIIe",TRUE,-2.84016807097942,57.527717795223
"Black Guillemot_Northern_Ireland_A_Point.rds","species_black_guillemot","Black Guillemot","Fratercula_guillemot","diver","LiDAR-DAS","regional","seasonal",6,"breeding",2004,"UK","Northern Ireland","A Point","IVb",FALSE,-3.90377023164183,52.9178859433159
"Guillemot_Scotland_J_Bay.rds","species_guillemot","Guillemot","Aves_guillemot","tern","GPS","national","annual",1,"nonbreeding",2009,"UK","Scotland","J Bay","IVb",TRUE,-4.61592407524586,52.5663974247873
"Puffin_England_N_Bay.rds","species_puffin","Puffin","Uria_guillemot","tern","Altimeter","regional","seasonal",7,"breeding, nonbreeding",2023,"UK","England","N Bay","IVc",TRUE,-5.85984856262803,60.9073789576069
